PassengerId,HomePlanet,CryoSleep,Cabin,Destination,VIP,Transported,Group,GroupNum,GroupSize,Deck,Side,RoomService_Trimmed,FoodCourt_Cat,Spa_Trimmed,VRDeck_Trimmed,ShoppingMall_Cat,FamilySize_Cat
0001_01,Europa,False,B/0/P,TRAPPIST-1e,False,False,1,1,1,B,P,0.0,0,0.0,0.0,0,1
0002_01,Earth,False,F/0/S,TRAPPIST-1e,False,True,2,1,1,F,S,109.0,1-50,549.0,44.0,1-50,1+
0003_01,Europa,False,A/0/S,TRAPPIST-1e,True,False,3,1,2,A,S,43.0,101+,5294.519999999993,49.0,0,1+
0003_02,Europa,False,A/0/S,TRAPPIST-1e,False,False,3,2,2,A,S,0.0,101+,3329.0,193.0,101+,1+
0004_01,Earth,False,F/1/S,TRAPPIST-1e,False,True,4,1,1,F,S,303.0,51-100,565.0,2.0,101+,1+
0005_01,Earth,False,F/0/P,PSO J318.5-22,False,True,5,1,1,F,P,0.0,101+,291.0,0.0,0,1+
0006_01,Earth,False,F/2/S,TRAPPIST-1e,False,True,6,1,2,F,S,42.0,101+,0.0,0.0,1-50,1+
0006_02,Earth,True,G/0/S,TRAPPIST-1e,False,True,6,2,2,G,S,0.0,0,0.0,0.0,0,1+
0007_01,Earth,False,F/3/S,TRAPPIST-1e,False,True,7,1,1,F,S,0.0,101+,216.0,0.0,1-50,1+
0008_01,Europa,True,B/1/P,55 Cancri e,False,True,8,1,3,B,P,0.0,0,0.0,0.0,0,1+
0008_02,Europa,True,B/1/P,TRAPPIST-1e,False,True,8,2,3,B,P,0.0,0,0.0,0.0,0,1+
0008_03,Europa,False,B/1/P,55 Cancri e,False,True,8,3,3,B,P,39.0,101+,110.0,124.0,101+,1+
0009_01,Mars,False,F/1/P,TRAPPIST-1e,False,True,9,1,1,F,P,73.0,0,0.0,113.0,101+,1+
0010_01,Earth,False,G/1/S,TRAPPIST-1e,False,False,10,1,1,G,S,719.0,1-50,0.0,24.0,51-100,1+
0011_01,Earth,False,F/2/P,TRAPPIST-1e,False,True,11,1,1,F,P,8.0,101+,2.0,7.0,1-50,1+
0012_01,Earth,False,G/734/S,TRAPPIST-1e,False,False,12,1,1,G,S,32.0,0,0.0,0.0,101+,1+
0014_01,Mars,False,F/3/P,55 Cancri e,False,False,14,1,1,F,P,1286.0,101+,0.0,0.0,0,1
0015_01,Earth,False,F/4/P,55 Cancri e,False,False,15,1,1,F,P,0.0,1-50,0.0,637.0,0,1+
0016_01,Mars,True,F/5/P,TRAPPIST-1e,False,True,16,1,1,F,P,0.0,0,0.0,0.0,0,1+
0017_01,Earth,False,G/0/P,TRAPPIST-1e,False,True,17,1,2,G,P,0.0,0,0.0,0.0,0,1+
0017_02,Earth,False,F/6/P,55 Cancri e,False,False,17,2,2,F,P,412.0,0,0.0,679.0,1-50,1+
