PassengerId,CryoSleep,VIP,Transported,Group,GroupNum,GroupSize,Side,RoomService_Trimmed,Spa_Trimmed,VRDeck_Trimmed,FamilySize_Cat,HomePlanet_Europa,HomePlanet_Mars,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,FoodCourt_Cat_1-50,FoodCourt_Cat_101+,FoodCourt_Cat_51-100,ShoppingMall_Cat_1-50,ShoppingMall_Cat_101+,ShoppingMall_Cat_51-100,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0001_01,0,0,0,1,1,1,0,0.0,0.0,0.0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0002_01,0,0,1,2,1,1,1,109.0,549.0,44.0,1,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
0003_01,0,1,0,3,1,2,1,43.0,5294.519999999993,49.0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0003_02,0,0,0,3,2,2,1,0.0,3329.0,193.0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
0004_01,0,0,1,4,1,1,1,303.0,565.0,2.0,1,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
0005_01,0,0,1,5,1,1,0,0.0,291.0,0.0,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
0006_01,0,0,1,6,1,2,1,42.0,0.0,0.0,1,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
0006_02,1,0,1,6,2,2,1,0.0,0.0,0.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0007_01,0,0,1,7,1,1,1,0.0,216.0,0.0,1,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
0008_01,1,0,1,8,1,3,0,0.0,0.0,0.0,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0008_02,1,0,1,8,2,3,0,0.0,0.0,0.0,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0008_03,0,0,1,8,3,3,0,39.0,110.0,124.0,1,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
0009_01,0,0,1,9,1,1,0,73.0,0.0,113.0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
0010_01,0,0,0,10,1,1,1,719.0,0.0,24.0,1,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True
0011_01,0,0,1,11,1,1,0,8.0,2.0,7.0,1,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
0012_01,0,0,0,12,1,1,1,32.0,0.0,0.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0014_01,0,0,0,14,1,1,0,1286.0,0.0,0.0,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0015_01,0,0,0,15,1,1,0,0.0,0.0,637.0,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
0016_01,1,0,1,16,1,1,0,0.0,0.0,0.0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0017_01,0,0,1,17,1,2,0,0.0,0.0,0.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0017_02,0,0,0,17,2,2,0,412.0,0.0,679.0,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0020_01,1,0,0,20,1,6,1,0.0,0.0,0.0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0020_02,1,0,0,20,2,6,1,0.0,0.0,0.0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0020_03,1,0,0,20,3,6,1,0.0,0.0,0.0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0020_04,0,0,1,20,4,6,1,0.0,0.0,0.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0020_05,1,0,0,20,5,6,1,0.0,0.0,0.0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0020_06,0,0,0,20,6,6,1,0.0,0.0,0.0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0022_01,0,0,0,22,1,1,0,980.0,0.0,0.0,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
0024_01,1,0,1,24,1,1,1,0.0,0.0,0.0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0025_01,0,0,0,25,1,1,1,0.0,998.0,0.0,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
0026_01,0,0,0,26,1,1,0,22.0,1438.0,328.0,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0028_01,0,0,0,28,1,1,0,1125.0,48.0,0.0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
0030_01,0,0,0,30,1,1,1,0.0,437.0,453.0,1,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True
